Depth,URL,Title
1,https://efloraofindia.com/article-categories/connaraceae/,Connaraceae – eFlora of India
1,https://efloraofindia.com/article-categories/convolvulaceae/,Convolvulaceae – eFlora of India
1,https://efloraofindia.com/article-categories/coriariaceae/,Coriariaceae – eFlora of India
1,https://efloraofindia.com/article-categories/cornaceae/,Cornaceae – eFlora of India
1,https://efloraofindia.com/article-categories/costaceae/,Costaceae – eFlora of India
1,https://efloraofindia.com/article-categories/crassulaceae/,Crassulaceae – eFlora of India
1,https://efloraofindia.com/article-categories/cucurbitaceae/,Cucurbitaceae – eFlora of India
1,https://efloraofindia.com/article-categories/cunoniaceae/,Cunoniaceae – eFlora of India
1,https://efloraofindia.com/article-categories/cupressaceae/,Cupressaceae – eFlora of India
1,https://efloraofindia.com/article-categories/cycadaceae/,Cycadaceae – eFlora of India
1,https://efloraofindia.com/article-categories/cyperaceae/,Cyperaceae – eFlora of India
1,https://efloraofindia.com/article-categories/cyrillaceae/,Cyrillaceae – eFlora of India
1,https://efloraofindia.com/article-categories/daphniphyllaceae/,Daphniphyllaceae – eFlora of India
1,https://efloraofindia.com/article-categories/datiscaceae/,Datiscaceae – eFlora of India
1,https://efloraofindia.com/article-categories/diapensiaceae/,Diapensiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/dichapetalaceae/,Dichapetalaceae – eFlora of India
1,https://efloraofindia.com/article-categories/didiereaceae/,Didiereaceae – eFlora of India
1,https://efloraofindia.com/article-categories/dilleniaceae/,Dilleniaceae – eFlora of India
1,https://efloraofindia.com/article-categories/dioscoreaceae/,Dioscoreaceae – eFlora of India
1,https://efloraofindia.com/article-categories/dipentodontaceae/,Dipentodontaceae – eFlora of India
1,https://efloraofindia.com/article-categories/dipterocarpaceae/,Dipterocarpaceae – eFlora of India
1,https://efloraofindia.com/article-categories/doryanthaceae/,Doryanthaceae – eFlora of India
1,https://efloraofindia.com/article-categories/droseraceae/,Droseraceae – eFlora of India
1,https://efloraofindia.com/article-categories/ebenaceae/,Ebenaceae – eFlora of India
1,https://efloraofindia.com/article-categories/elaeagnaceae/,Elaeagnaceae – eFlora of India
1,https://efloraofindia.com/article-categories/elaeaocarpaceae/,Elaeaocarpaceae – eFlora of India
1,https://efloraofindia.com/article-categories/elatinaceae/,Elatinaceae – eFlora of India
1,https://efloraofindia.com/article-categories/ephedraceae/,Ephedraceae – eFlora of India
1,https://efloraofindia.com/article-categories/ericaceae/,Ericaceae – eFlora of India
1,https://efloraofindia.com/article-categories/eriocaulaceae/,Eriocaulaceae – eFlora of India
1,https://efloraofindia.com/article-categories/erythroxylaceae/,Erythroxylaceae – eFlora of India
1,https://efloraofindia.com/article-categories/escalloniaceae/,Escalloniaceae – eFlora of India
1,https://efloraofindia.com/article-categories/euphorbiaceae/,Euphorbiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/fabaceae/,Fabaceae (Leguminosae) – eFlora of India
1,https://efloraofindia.com/article-categories/fagaceae/,Fagaceae – eFlora of India
1,https://efloraofindia.com/article-categories/fouquieriaceae/,Fouquieriaceae – eFlora of India
1,https://efloraofindia.com/article-categories/garryaceae/,Garryaceae – eFlora of India
1,https://efloraofindia.com/article-categories/gelsemiaceae/,Gelsemiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/gentianaceae/,Gentianaceae – eFlora of India
1,https://efloraofindia.com/article-categories/geraniaceae/,Geraniaceae – eFlora of India
1,https://efloraofindia.com/article-categories/gesneriaceae/,Gesneriaceae – eFlora of India
1,https://efloraofindia.com/article-categories/ginkgoaceae/,Ginkgoaceae – eFlora of India
1,https://efloraofindia.com/article-categories/gisekiaceae/,Gisekiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/gnetaceae/,Gnetaceae – eFlora of India
1,https://efloraofindia.com/article-categories/goodeniaceae/,Goodeniaceae – eFlora of India
1,https://efloraofindia.com/article-categories/grossulariaceae/,Grossulariaceae – eFlora of India
1,https://efloraofindia.com/article-categories/gunneraceae/,Gunneraceae – eFlora of India
1,https://efloraofindia.com/article-categories/haemodoraceae/,Haemodoraceae – eFlora of India
1,https://efloraofindia.com/article-categories/haloragaceae/,Haloragaceae – eFlora of India
1,https://efloraofindia.com/article-categories/hamamelidaceae/,Hamamelidaceae – eFlora of India
1,https://efloraofindia.com/article-categories/heliconiaceae/,Heliconiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/helwingiaceae/,Helwingiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/hernandiaceae/,Hernandiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/hydrangeaceae/,Hydrangeaceae – eFlora of India
1,https://efloraofindia.com/article-categories/hydrocharitaceae/,Hydrocharitaceae – eFlora of India
1,https://efloraofindia.com/article-categories/hypericaceae/,Hypericaceae – eFlora of India
1,https://efloraofindia.com/article-categories/hypoxidaceae/,Hypoxidaceae – eFlora of India
1,https://efloraofindia.com/article-categories/icacinaceae/,Icacinaceae – eFlora of India
1,https://efloraofindia.com/article-categories/iridaceae/,Iridaceae – eFlora of India
1,https://efloraofindia.com/article-categories/iteaceae/,Iteaceae – eFlora of India
1,https://efloraofindia.com/article-categories/juglandaceae/,Juglandaceae – eFlora of India
1,https://efloraofindia.com/article-categories/juncaceae/,Juncaceae – eFlora of India
1,https://efloraofindia.com/article-categories/juncaginaceae/,Juncaginaceae – eFlora of India
1,https://efloraofindia.com/article-categories/lamiaceae/,Lamiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/lardizabalaceae/,Lardizabalaceae – eFlora of India
1,https://efloraofindia.com/article-categories/lauraceae/,Lauraceae – eFlora of India
1,https://efloraofindia.com/article-categories/lecythidaceae/,Lecythidaceae – eFlora of India
1,https://efloraofindia.com/article-categories/lentibulariaceae/,Lentibulariaceae – eFlora of India
1,https://efloraofindia.com/article-categories/liliaceae/,Liliaceae – eFlora of India
1,https://efloraofindia.com/article-categories/limeaceae/,Limeaceae – eFlora of India
1,https://efloraofindia.com/article-categories/linaceae/,Linaceae – eFlora of India
1,https://efloraofindia.com/article-categories/linderniaceae/,Linderniaceae – eFlora of India
1,https://efloraofindia.com/article-categories/loganiaceae/,Loganiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/lophiocarpaceae/,Lophiocarpaceae – eFlora of India
